"zipcode","latitude","longitude"
"32710,28.61250,-81.49860"
"95018,37.06967,-122.05857"
"22630,38.93317,-78.24761"
"27625,35.81980,-78.57100"
"85201,33.44000,-111.85000"
"63021,38.59255,-90.58707"
"97032,45.17570,-122.77400"
"47616,38.20790,-87.92440"
"15050,40.53870,-80.43790"
"51572,41.99500,-95.79160"
"N3A 1P9,43.37946,-80.71111"
"79410,33.57150,-101.89000"
"63074,38.73094,-90.38896"
"D12 NP74,53.33020,-6.31057"
"78269,29.56690,-98.61340"
"10474,40.79313,-73.88601"
"V3C 2A9,49.26284,-122.78107"
"92661,33.60160,-117.90200"
"30069,33.91650,-84.51970"
"59353,46.96500,-104.24900"
"47106,38.45540,-85.91370"
"82844,44.64490,-107.33500"
"29006,33.90000,-81.54000"
"43772,39.88250,-81.53660"
"13468,42.83618,-74.85348"
"69201,42.55785,-100.61684"
"97203,53.13551,-57.66044"
"52591,41.33100,-92.18210"
"75432,33.38650,-95.53384"
"91382,34.37960,-118.52800"
"R2R 1V5,49.93334,-97.22823"
"70126,29.99610,-90.00350"
"58223,47.54140,-96.97380"
"46348,41.30900,-86.86100"
"42782,37.33500,-85.65360"
"52324,42.00453,-91.81233"
"60953,40.63000,-87.64920"
"39208,32.27459,-90.13203"
"80202,39.75120,-104.99800"
"36250,33.77030,-85.90080"
"V1X,49.89002,-119.39545"
"63079,38.27440,-91.10570"
"39440,31.68750,-89.11160"
"32578,30.50140,-86.39840"
"36113,32.38060,-86.34410"
"K7M 3L7,44.26216,-76.54371"
"66040,38.34000,-94.76000"
"23696,37.21039,-76.38688"
"02269,42.25280,-71.00250"
"80263,39.83300,-105.00900"
"10258,40.71420,-74.00640"
"06612,41.26610,-73.30230"
"49022,42.11000,-86.44000"
"16322,41.58970,-79.37860"
"98540,46.96790,-122.83500"
"21650,39.31460,-75.80360"
"47362,39.97048,-85.35497"
"49950,47.41579,-88.29760"
"57574,43.09730,-101.44000"
"54157,45.07351,-87.86768"
"87583,35.24360,-105.36800"
"98274,48.35921,-122.24661"
"87557,36.26920,-105.54300"
"84061,40.76540,-111.28700"
"65109,38.58923,-92.26304"
"63563,40.37365,-92.18463"
"70774,30.20440,-90.80150"
"6432,-30.77800,121.48900"
"87032,34.86400,-106.05200"
"48821,42.64559,-84.64887"
"91412,34.22490,-118.44900"
"58725,48.41590,-101.71300"
"19529,40.63028,-75.87663"
"83113,42.56650,-110.31200"
"19009,40.13140,-75.06790"
"72032,35.08220,-92.36600"
"05406,44.48800,-73.22610"
"99645,61.77200,-148.18300"
"10023,40.77610,-73.98410"
"59312,46.71950,-106.29300"
"40121,37.89480,-85.95640"
"54488,44.81550,-90.31700"
"06444,41.56250,-72.93430"
"59436,47.61690,-112.09900"
"48423,43.03610,-83.51300"
"47443,38.95750,-87.11580"
"03266,43.75674,-71.94869"
"45044,39.38450,-84.37355"
"G5C,49.19027,-68.26094"
"33881,28.05770,-81.70420"
"04471,45.89520,-67.84790"
"45894,40.76970,-84.46450"
"73734,35.98760,-97.90430"
"45133,39.15201,-83.48492"
"15061,40.63201,-80.41395"
"J0Z 2R0,47.35377,-79.35188"
"29506,34.20960,-79.72790"
"53965,43.61789,-89.68162"
"43112,39.79860,-82.70370"
"15042,40.69140,-80.20060"
"83452,43.82400,-111.20400"
"M9N 1V9,43.70023,-79.51508"
"19373,39.90220,-75.53700"
"63038,38.58283,-90.66290"
"77833,30.16711,-96.39769"
"70714,30.59040,-91.13190"
"64150,39.09000,-94.58000"
"63460,40.03670,-92.25970"
"02112,42.36007,-71.05883"
"95152,37.41570,-121.82200"
"56265,44.95418,-95.64301"
"16101,40.97000,-80.18667"
"75222,32.78350,-96.80030"
"63944,37.09180,-90.46010"
"67108,37.82730,-97.66880"
"K1N 7B9,45.42517,-75.68833"
"94581,38.29750,-122.28400"
"95456,39.28590,-123.78400"
"MK40 1RZ,52.13597,-0.46666"
"55007,45.94060,-92.96060"
"LL13,53.01010,-2.98721"
"42028,37.21870,-88.40320"
"37211,36.06570,-86.72360"
"45663,38.74820,-83.10130"
"72832,35.42710,-93.67510"
"83860,48.17697,-116.40870"
"10453,40.85280,-73.91330"
"68458,40.21870,-96.52000"
"21677,38.51220,-76.18090"
"642127,10.32359,76.95100"
"12580,41.84737,-73.86514"
"93714,36.73330,-119.78400"
"32175,29.28550,-81.05610"
"14423,42.94210,-77.83060"
"97227,45.54350,-122.67400"
"99669,60.44530,-151.17900"
"560098,12.90085,77.52302"
"J0G 1M0,46.06378,-72.81909"
"V1J 2N9,56.25242,-120.84641"
"99691,62.99650,-154.39100"
"77070,29.98050,-95.57410"
"50134,41.94320,-93.65910"
"59601,46.58837,-112.02451"
"30328,33.93250,-84.38520"
"14818,42.44780,-76.81880"
"93456,34.95320,-120.43500"
"83815,47.72690,-116.78800"
"32214,30.21870,-81.68700"
"44321,41.11089,-81.67290"
"14433,43.15368,-76.87857"
"04942,45.04533,-69.69478"
"94022,37.36880,-122.15300"
"28901,35.19770,-83.81670"
"43701,39.98560,-81.90980"
"64660,39.56990,-93.08530"
"22192,38.68060,-77.32090"
"64491,40.43630,-95.32140"
"45238,39.09506,-84.60522"
"1127,14.69327,121.08456"
"52563,41.17890,-92.25185"
"75641,32.38640,-94.58360"
"V6B 0J1,49.27995,-123.10792"
"30655,33.78040,-83.68800"
"40228,38.13170,-85.62390"
"V0M 1K0,49.49036,-121.83121"
"34231,27.22200,-82.49787"
"28667,35.77390,-81.43150"
"65773,36.78950,-92.40905"
"66871,38.34690,-95.59100"
"97000,45.52306,-122.67648"
"94064,37.46340,-122.25500"
"85354,33.42340,-112.96000"
"29112,33.62810,-81.05400"
"02651,41.84770,-70.00420"
"83218,43.31830,-112.16400"
"80207,39.76310,-104.91100"
"K7H 1J2,44.89881,-76.24856"
"18469,41.71707,-75.13119"
"54805,45.40540,-92.04030"
"04076,43.57180,-70.83100"
"50592,42.72980,-95.18430"
"500082,17.42772,78.44876"
"63024,38.60460,-90.54240"
"12032,43.27830,-74.54810"
"56502,46.81750,-95.84500"
"49616,44.56940,-86.07590"
"14167,42.74470,-78.32150"
"49002,42.19770,-85.55720"
"H2T,45.52747,-73.60794"
"08346,39.56520,-74.85070"
"06085,41.74430,-72.89070"
"55968,44.40180,-92.07790"
"37351,35.10590,-85.26420"
"S0C,49.11653,-101.90481"
"24931,37.96160,-80.61340"
"20077,38.89000,-77.03000"
"23417,37.71690,-75.77470"
"15764,41.00530,-79.04490"
"32320,29.75660,-85.02047"
"94955,38.23380,-122.64000"
"28715,35.49733,-82.68679"
"70555,30.06490,-92.10050"
"35282,33.49740,-86.79330"
"66000-000,-1.46319,-48.46813"
"11735,40.72927,-73.41679"
"92610,33.68318,-117.66643"
"58779,47.82600,-101.82500"
"73561,33.96430,-97.76380"
"06879,41.28150,-73.49890"
"84151,40.78780,-111.94000"
"43147,39.90190,-82.74520"
"N3L,43.19402,-80.38450"
"38617,34.39190,-90.48740"
"46965,40.41950,-86.10420"
"97914,43.99600,-117.00905"
"30349,33.61880,-84.52460"
"76673,31.75000,-96.88000"
"57004,43.14354,-96.85654"
"57030,42.77819,10.19274"
"33168,25.89250,-80.20940"
"02212,42.33620,-71.01760"
"08220,39.49170,-74.42950"
"83617,43.98000,-116.52000"
"58355,48.57720,-98.37030"
"99826,58.82720,-136.84500"
"97308,44.89870,-122.92700"
"46931,40.94730,-86.26290"
"76116,32.72030,-97.45160"
"25635,37.73020,-81.84740"
"73501,34.54830,-98.28490"
"17742,41.23240,-76.58460"
"63366,38.86144,-90.74179"
"3012 CA,51.92103,4.47870"
"62465,39.38790,-88.64320"
"90731,33.72410,-118.26400"
"93010,34.21639,-119.03760"
"84080,31.29351,-110.93660"
"40927,36.89670,-83.02560"
"34464,28.91250,-82.33010"
"13676,44.66000,-74.98000"
"50594,42.55840,-94.03060"
"18834,41.78941,-75.69062"
"50307,41.58900,-93.61510"
"43213,39.96673,-82.88546"
"21409,39.02210,-76.43790"
"35621,34.35690,-86.68570"
"72756,36.40202,-94.07076"
"35016,34.33200,-86.48940"
"07430,41.08180,-74.18620"
"60042,42.27940,-88.19530"
"26525,39.65000,-79.64000"
"75236,32.68560,-96.93530"
"30123,34.23000,-84.84000"
"50154,42.16460,-93.40470"
"14452,43.24470,-78.09160"
"25676,37.80870,-82.22970"
"80208,39.67820,-104.96300"
"2152,52.27331,4.63260"
"44509,41.10980,-80.69510"
"84076,31.30023,-110.93199"
"16515,42.12340,-80.05460"
"76267,33.35970,-97.39170"
"74108,36.14940,-95.79220"
"99251,47.75210,-117.42000"
"27342,36.06740,-79.62060"
"67842,37.61650,-99.78930"
"49908,46.81100,-88.50980"
"44861,41.24560,-83.14690"
"98043,47.79000,-122.30000"
"45231,39.23554,-84.56415"
"79854,30.72630,-104.45200"
"50473,43.46600,-93.65490"
"29505,34.13127,-79.74534"
"47974,40.07630,-87.47790"
"02190,42.16976,-70.95563"
"88012,32.43750,-106.72400"
"47362,39.92477,-85.25191"
"94534,38.24380,-122.08386"
"06022,41.86620,-72.93380"
"54969,44.27270,-88.76970"
"39048,46.55695,11.76711"
"81615,39.19050,-106.82000"
"25239,38.85730,-81.81350"
"20861,45.55178,9.30965"
"07920,40.67630,-74.56430"
"87576,36.13470,-105.75600"
"75056,33.08860,-96.90130"
"52321,42.12920,-90.95660"
"72175,34.39520,-91.76360"
"32566,30.38195,-86.86237"
"24150,37.35280,-80.66920"
"25187,38.71600,-82.00730"
"97034,45.40820,-122.68400"
"56579,46.52930,-96.30050"
"73463,34.15600,-97.42280"
"24593,37.37000,-78.90950"
"25164,38.46330,-81.22240"
"80013,39.66020,-104.76200"
"B38 8SD,52.40668,-1.92997"
"48094,42.73750,-83.03480"
"61821,40.10780,-88.28100"
"E7M 1K7,46.17004,-67.60197"
